,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status,target,numeric_target,cat_target,score,descrete_score
51,0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... <  100 DM,.. >= 7 years,1,none,2,"car or other, not in attribute 6",30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,0,6028,1,1.0035440818520565,1
52,no checking account,12,existing credits paid back duly till now,radio/television,1262,... <  100 DM,1  <= ... < 4 years,3,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,no,male,single,1,1307,0,-0.001604939914038761,0
53,no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1  <= ... < 4 years,2,none,1,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,3433,1,0.9898139323100006,1
54,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,2330,1,1.0183550540557866,1
55,no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1  <= ... < 4 years,1,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,none,no,male,single,0,821,0,-0.02313423569313855,0
56,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account,unemployed,2,none,1,unknown / no property,52,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,6538,1,1.0090524471808344,1
60,0 <= ... < 200 DM,9,existing credits paid back duly till now,business,1391,... <  100 DM,1  <= ... < 4 years,2,none,1,real estate,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,1433,0,-0.015318839029250797,0
61,0 <= ... < 200 DM,15,critical account/  other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,.. >= 7 years,4,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,0,1613,1,1.0001803504990359,1
62,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,business,1953,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,61,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,0,2060,1,0.9952375793695809,1
63,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,14421,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,0,14500,1,1.0003229266080262,1
65,no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/ no savings account,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,48,none,own,4,skilled employee / official,2,"yes, registered under the customers name",no,male,single,0,5279,1,1.004147135692091,1
67,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,.. >= 1000 DM,1  <= ... < 4 years,4,none,1,real estate,22,none,own,1,skilled employee / official,1,none,no,male,married/widowed,1,1049,0,-0.011851375354741123,0
68,no checking account,36,existing credits paid back duly till now,education,1819,... <  100 DM,1  <= ... < 4 years,4,none,4,unknown / no property,37,stores,for free,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,1903,1,1.019435745515898,1
71,no checking account,7,critical account/  other credits existing (not at this bank),radio/television,730,unknown/ no savings account,.. >= 7 years,4,none,2,building society savings agreement/ life insurance,46,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",no,male,single,1,793,0,-0.0031470661237869013,0
72,... < 0 DM,8,critical account/  other credits existing (not at this bank),others,1164,... <  100 DM,.. >= 7 years,3,none,4,unknown / no property,51,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",no,male,single,0,1234,0,0.007547769754936429,1
74,... < 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,2064,1,1.008712588006506,1
75,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (used),1526,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,66,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,no,male,single,1,1616,1,0.9818913259747107,1
76,... < 0 DM,42,existing credits paid back duly till now,radio/television,3965,... <  100 DM,... < 1 year,4,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,no,male,single,1,4051,1,1.0018763420495023,1
77,0 <= ... < 200 DM,11,delay in paying off in the past,radio/television,4771,... <  100 DM,4  <= ... < 7 years,2,none,4,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1,none,no,male,single,1,4842,1,0.9999743335737076,1
78,no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1  <= ... < 4 years,2,none,2,building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,none,no,male,single,1,9537,1,0.998428498988094,1
79,0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,... <  100 DM,... < 1 year,2,none,1,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,no,male,married/widowed,0,3889,1,1.0075349252785668,1
81,no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,.. >= 7 years,4,none,3,building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,1285,0,-0.0002716656768225745,0
84,... < 0 DM,10,existing credits paid back duly till now,radio/television,2315,... <  100 DM,.. >= 7 years,3,none,4,real estate,52,none,own,1,unskilled - resident,1,none,no,male,single,1,2387,1,1.016739026220455,1
87,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,12612,100 <= ... <  500 DM,1  <= ... < 4 years,1,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",no,male,single,1,12704,1,1.0083290532272453,1
88,... < 0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,3,"car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",no,male,single,1,2308,1,1.0045420424303184,1
89,... < 0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,... <  100 DM,4  <= ... < 7 years,4,none,3,real estate,28,none,own,2,skilled employee / official,1,none,no,male,single,1,1159,0,-0.0015263872452820904,0
90,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,618,... <  100 DM,.. >= 7 years,4,none,4,real estate,56,none,own,1,skilled employee / official,1,none,no,male,single,0,696,0,-0.003411626446624627,0
91,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (used),1409,... <  100 DM,.. >= 7 years,4,none,3,real estate,54,none,own,1,skilled employee / official,1,none,no,male,single,1,1485,0,-0.0026372839633390655,0
93,>= 200 DM,24,critical account/  other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,.. >= 7 years,4,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,none,no,male,single,1,3673,1,1.0286144538443929,1
94,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,.. >= 1000 DM,.. >= 7 years,4,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,1395,0,-0.014719408566475911,0
95,0 <= ... < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,... <  100 DM,... < 1 year,3,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,16067,1,0.9998482747242603,1
97,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... <  500 DM,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,no,male,single,1,2685,1,1.0065604387022458,1
98,0 <= ... < 200 DM,36,critical account/  other credits existing (not at this bank),radio/television,2337,... <  100 DM,.. >= 7 years,4,none,4,real estate,36,none,own,1,skilled employee / official,1,none,no,male,single,0,2419,1,1.0112092036733913,1
99,0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4  <= ... < 7 years,3,none,4,building society savings agreement/ life insurance,36,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",no,male,single,1,7125,1,1.0048596519775221,1
100,no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... <  500 DM,.. >= 7 years,4,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,no,male,married/widowed,1,1545,1,1.0209420449811362,1
101,0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2323,... <  100 DM,4  <= ... < 7 years,4,none,4,"car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,no,male,single,1,2394,1,1.0038938070553423,1
103,0 <= ... < 200 DM,9,critical account/  other credits existing (not at this bank),furniture/equipment,1919,... <  100 DM,4  <= ... < 7 years,4,none,3,"car or other, not in attribute 6",35,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,1973,1,1.007041702956541,1
104,no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,... < 1 year,2,none,4,"car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,2492,1,0.9887637989034123,1
105,0 <= ... < 200 DM,24,critical account/  other credits existing (not at this bank),others,11938,... <  100 DM,1  <= ... < 4 years,2,co-applicant,3,"car or other, not in attribute 6",39,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",no,male,single,1,12011,1,1.0078269295027915,1
106,no checking account,18,all credits at this bank paid back duly,car (new),6458,... <  100 DM,.. >= 7 years,2,none,4,unknown / no property,39,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",no,male,single,1,6526,1,1.0207750501579775,1
107,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,... <  100 DM,4  <= ... < 7 years,2,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,none,no,male,single,1,6129,1,1.0025705218054108,1
109,0 <= ... < 200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,.. >= 7 years,1,none,2,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1,1465,0,-0.011233094793098863,0
110,0 <= ... < 200 DM,6,delay in paying off in the past,business,1449,100 <= ... <  500 DM,.. >= 7 years,1,none,2,"car or other, not in attribute 6",31,bank,own,2,skilled employee / official,2,none,no,male,divorced/separated,1,1494,0,0.16026986906985585,1
112,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,... <  100 DM,4  <= ... < 7 years,3,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,no,male,single,0,6314,1,0.9974659341023,1
114,... < 0 DM,12,existing credits paid back duly till now,radio/television,1680,500 <= ... < 1000 DM,.. >= 7 years,3,none,1,real estate,35,none,own,1,skilled employee / official,1,none,no,male,married/widowed,1,1734,1,0.9990448775984235,1
115,no checking account,48,critical account/  other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,.. >= 7 years,4,none,1,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,3681,1,0.9787534493322945,1
119,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM,4  <= ... < 7 years,3,none,3,"car or other, not in attribute 6",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,divorced/separated,1,2423,1,0.9882493574323421,1
122,no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,... <  100 DM,1  <= ... < 4 years,3,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,no,male,single,1,1812,1,0.9940260497322848,1
123,>= 200 DM,10,critical account/  other credits existing (not at this bank),car (new),781,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,866,0,-0.015656506445108187,0
125,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (new),2121,... <  100 DM,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,no,male,single,1,2173,1,1.0015162303937495,1
126,... < 0 DM,12,existing credits paid back duly till now,radio/television,701,... <  100 DM,1  <= ... < 4 years,4,none,2,real estate,40,none,own,1,unskilled - resident,1,none,no,male,married/widowed,1,762,0,0.0011876514040745079,1
127,0 <= ... < 200 DM,12,existing credits paid back duly till now,repairs,639,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,no,male,single,0,689,0,5.5170947963922856e-05,1
128,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),car (used),1860,... <  100 DM,unemployed,4,none,2,"car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,1916,1,1.0030578209082712,1
131,... < 0 DM,36,delay in paying off in the past,education,6887,... <  100 DM,1  <= ... < 4 years,4,none,3,building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,6962,1,0.9973739861218744,1
132,no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,... <  100 DM,... < 1 year,2,none,3,building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,none,no,male,single,0,2758,1,1.0055964924711605,1
133,no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,... <  100 DM,1  <= ... < 4 years,4,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,none,no,male,single,0,2060,1,1.017916354456418,1
136,no checking account,27,delay in paying off in the past,car (used),8613,.. >= 1000 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,no,male,single,0,8674,1,1.0020389058695653,1
137,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,766,500 <= ... < 1000 DM,1  <= ... < 4 years,4,none,3,real estate,66,none,own,1,unskilled - resident,1,none,no,male,single,0,853,0,0.021403274947239925,1
138,0 <= ... < 200 DM,15,critical account/  other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,4  <= ... < 7 years,4,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,2789,1,0.9987032419970261,1
140,>= 200 DM,6,existing credits paid back duly till now,car (new),709,.. >= 1000 DM,... < 1 year,2,none,2,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,male,married/widowed,1,749,0,-0.012717771337994899,0
142,... < 0 DM,27,existing credits paid back duly till now,radio/television,3416,... <  100 DM,1  <= ... < 4 years,3,none,2,"car or other, not in attribute 6",27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,no,male,single,1,3478,1,0.9993037934320141,1
143,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,no,male,single,1,2509,1,0.9963431420399089,1
145,0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,3566,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,no,male,single,0,3652,1,1.0025649074075342,1
148,... < 0 DM,36,critical account/  other credits existing (not at this bank),furniture/equipment,5371,... <  100 DM,1  <= ... < 4 years,3,guarantor,2,building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,none,no,male,single,0,5443,1,0.9981143273164286,1
149,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,1582,.. >= 1000 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,none,no,male,single,1,1658,1,1.005689028848926,1
150,no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= ... <  500 DM,.. >= 7 years,2,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",no,male,single,1,1404,0,-0.026519715693479995,0
151,no checking account,10,existing credits paid back duly till now,radio/television,1924,... <  100 DM,1  <= ... < 4 years,1,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,0,1979,1,1.0050473058285765,1
152,>= 200 DM,36,existing credits paid back duly till now,radio/television,5848,... <  100 DM,1  <= ... < 4 years,4,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,no,male,single,1,5916,1,1.0014192861758184,1
154,0 <= ... < 200 DM,24,delay in paying off in the past,business,6967,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,4,"car or other, not in attribute 6",36,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,male,single,1,7038,1,1.001590605018531,1
156,... < 0 DM,9,critical account/  other credits existing (not at this bank),repairs,1288,100 <= ... <  500 DM,.. >= 7 years,3,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,none,yes,male,single,1,1357,0,-0.00943942381812779,0
157,... < 0 DM,12,all credits at this bank paid back duly,retraining,339,... <  100 DM,.. >= 7 years,4,none,1,"car or other, not in attribute 6",45,bank,own,1,unskilled - resident,1,none,no,male,married/widowed,1,404,0,0.0991083781869192,1
158,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= ... <  500 DM,4  <= ... < 7 years,2,none,3,"car or other, not in attribute 6",38,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1,3583,1,1.0097513180683397,1
159,no checking account,6,critical account/  other credits existing (not at this bank),radio/television,1898,unknown/ no savings account,1  <= ... < 4 years,1,none,2,real estate,34,none,own,2,unskilled - resident,2,none,no,male,single,1,1946,1,0.9934790869824175,1
160,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2872,100 <= ... <  500 DM,.. >= 7 years,3,none,4,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",no,male,single,1,2943,1,1.0033418954515987,1
