,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status
10,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... <  100 DM,... < 1 year,3,none,1,"car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
11,... < 0 DM,48,existing credits paid back duly till now,business,4308,... <  100 DM,... < 1 year,3,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
12,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1567,... <  100 DM,1  <= ... < 4 years,1,none,1,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
13,... < 0 DM,24,critical account/  other credits existing (not at this bank),car (new),1199,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,none,yes,male,single
14,... < 0 DM,15,existing credits paid back duly till now,car (new),1403,... <  100 DM,1  <= ... < 4 years,2,none,4,"car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
15,... < 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= ... <  500 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
16,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1,none,yes,male,single
17,... < 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,... < 1 year,2,none,3,"car or other, not in attribute 6",25,bank,own,3,skilled employee / official,1,none,yes,male,single
18,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... <  100 DM,.. >= 7 years,4,none,2,unknown / no property,44,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
19,no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM,.. >= 7 years,3,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
20,no checking account,9,critical account/  other credits existing (not at this bank),car (new),2134,... <  100 DM,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",48,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
21,... < 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= ... < 1000 DM,1  <= ... < 4 years,2,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes,male,single
22,... < 0 DM,10,critical account/  other credits existing (not at this bank),car (new),2241,... <  100 DM,... < 1 year,1,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,male,single
23,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),car (used),1804,100 <= ... <  500 DM,... < 1 year,3,none,4,building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1,none,yes,male,single
24,no checking account,10,critical account/  other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1  <= ... < 4 years,2,none,1,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,no,male,married/widowed
25,... < 0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,... <  100 DM,1  <= ... < 4 years,1,none,2,real estate,36,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,single
26,no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,none,yes,male,married/widowed
27,>= 200 DM,12,all credits at this bank paid back duly,radio/television,409,.. >= 1000 DM,1  <= ... < 4 years,3,none,3,real estate,42,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated/married
28,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2415,... <  100 DM,1  <= ... < 4 years,3,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,none,yes,male,single
29,... < 0 DM,60,delay in paying off in the past,business,6836,... <  100 DM,.. >= 7 years,3,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
30,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,.. >= 1000 DM,... < 1 year,3,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed
31,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,yes,male,single
32,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... <  500 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
33,no checking account,12,critical account/  other credits existing (not at this bank),business,1264,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,none,yes,male,single
34,>= 200 DM,12,existing credits paid back duly till now,furniture/equipment,1474,... <  100 DM,... < 1 year,4,none,1,building society savings agreement/ life insurance,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
35,0 <= ... < 200 DM,45,critical account/  other credits existing (not at this bank),radio/television,4746,... <  100 DM,... < 1 year,4,none,2,building society savings agreement/ life insurance,25,none,own,2,unskilled - resident,1,none,yes,male,single
36,no checking account,48,critical account/  other credits existing (not at this bank),education,6110,... <  100 DM,1  <= ... < 4 years,1,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
37,>= 200 DM,18,existing credits paid back duly till now,radio/television,2100,... <  100 DM,1  <= ... < 4 years,4,co-applicant,2,real estate,37,stores,own,1,skilled employee / official,1,none,yes,male,single
38,>= 200 DM,10,existing credits paid back duly till now,domestic appliances,1225,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
39,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,458,... <  100 DM,1  <= ... < 4 years,4,none,3,real estate,24,none,own,1,skilled employee / official,1,none,yes,male,single
40,no checking account,30,existing credits paid back duly till now,radio/television,2333,500 <= ... < 1000 DM,.. >= 7 years,4,none,2,"car or other, not in attribute 6",30,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single
41,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1158,500 <= ... < 1000 DM,1  <= ... < 4 years,3,none,1,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated
42,0 <= ... < 200 DM,18,delay in paying off in the past,repairs,6204,... <  100 DM,1  <= ... < 4 years,2,none,4,real estate,44,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,male,single
43,... < 0 DM,30,critical account/  other credits existing (not at this bank),car (used),6187,100 <= ... <  500 DM,4  <= ... < 7 years,1,none,4,"car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,none,yes,male,married/widowed
44,... < 0 DM,48,critical account/  other credits existing (not at this bank),car (used),6143,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,58,stores,for free,2,unskilled - resident,1,none,yes,female,divorced/separated/married
45,no checking account,11,critical account/  other credits existing (not at this bank),car (new),1393,... <  100 DM,... < 1 year,4,none,4,"car or other, not in attribute 6",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married
46,no checking account,36,existing credits paid back duly till now,radio/television,2299,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,none,yes,male,single
47,... < 0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,none,2,building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled  - non-resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
48,no checking account,11,critical account/  other credits existing (not at this bank),car (new),7228,... <  100 DM,1  <= ... < 4 years,1,none,4,building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,none,yes,male,single
49,no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= ... <  500 DM,1  <= ... < 4 years,4,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
50,0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,... < 1 year,4,none,2,building society savings agreement/ life insurance,29,bank,own,1,unskilled - resident,1,none,yes,male,single
51,0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... <  100 DM,.. >= 7 years,1,none,2,"car or other, not in attribute 6",30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
52,no checking account,12,existing credits paid back duly till now,radio/television,1262,... <  100 DM,1  <= ... < 4 years,3,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,male,single
53,no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1  <= ... < 4 years,2,none,1,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
54,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
55,no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1  <= ... < 4 years,1,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,none,yes,male,single
56,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account,unemployed,2,none,1,unknown / no property,52,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
57,no checking account,36,critical account/  other credits existing (not at this bank),radio/television,9566,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",31,stores,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
58,>= 200 DM,18,existing credits paid back duly till now,car (new),1961,... <  100 DM,.. >= 7 years,3,none,2,"car or other, not in attribute 6",23,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married
59,... < 0 DM,36,critical account/  other credits existing (not at this bank),furniture/equipment,6229,... <  100 DM,... < 1 year,4,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
60,0 <= ... < 200 DM,9,existing credits paid back duly till now,business,1391,... <  100 DM,1  <= ... < 4 years,2,none,1,real estate,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed
61,0 <= ... < 200 DM,15,critical account/  other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,.. >= 7 years,4,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
62,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,business,1953,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,61,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
63,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,14421,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
64,no checking account,24,existing credits paid back duly till now,radio/television,3181,... <  100 DM,... < 1 year,4,none,4,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
65,no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/ no savings account,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,48,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
66,no checking account,12,existing credits paid back duly till now,radio/television,2171,... <  100 DM,... < 1 year,2,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
67,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,.. >= 1000 DM,1  <= ... < 4 years,4,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,male,married/widowed
68,no checking account,36,existing credits paid back duly till now,education,1819,... <  100 DM,1  <= ... < 4 years,4,none,4,unknown / no property,37,stores,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
69,no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
70,no checking account,36,existing credits paid back duly till now,car (used),8133,... <  100 DM,1  <= ... < 4 years,1,none,2,building society savings agreement/ life insurance,30,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
71,no checking account,7,critical account/  other credits existing (not at this bank),radio/television,730,unknown/ no savings account,.. >= 7 years,4,none,2,building society savings agreement/ life insurance,46,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single
72,... < 0 DM,8,critical account/  other credits existing (not at this bank),others,1164,... <  100 DM,.. >= 7 years,3,none,4,unknown / no property,51,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
73,0 <= ... < 200 DM,42,critical account/  other credits existing (not at this bank),business,5954,... <  100 DM,4  <= ... < 7 years,2,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes,female,divorced/separated/married
74,... < 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
75,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (used),1526,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,66,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single
76,... < 0 DM,42,existing credits paid back duly till now,radio/television,3965,... <  100 DM,... < 1 year,4,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes,male,single
77,0 <= ... < 200 DM,11,delay in paying off in the past,radio/television,4771,... <  100 DM,4  <= ... < 7 years,2,none,4,building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1,none,yes,male,single
78,no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1  <= ... < 4 years,2,none,2,building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,none,yes,male,single
79,0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,... <  100 DM,... < 1 year,2,none,1,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,male,married/widowed
80,no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account,... < 1 year,1,none,1,"car or other, not in attribute 6",44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
81,no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,.. >= 7 years,4,none,3,building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
82,no checking account,18,existing credits paid back duly till now,business,1568,100 <= ... <  500 DM,1  <= ... < 4 years,3,none,4,building society savings agreement/ life insurance,24,none,rent,1,unskilled - resident,1,none,yes,female,divorced/separated/married
83,... < 0 DM,24,existing credits paid back duly till now,others,1755,... <  100 DM,.. >= 7 years,4,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
84,... < 0 DM,10,existing credits paid back duly till now,radio/television,2315,... <  100 DM,.. >= 7 years,3,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes,male,single
85,no checking account,12,critical account/  other credits existing (not at this bank),business,1412,... <  100 DM,1  <= ... < 4 years,4,guarantor,2,real estate,29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
86,0 <= ... < 200 DM,18,critical account/  other credits existing (not at this bank),furniture/equipment,1295,... <  100 DM,... < 1 year,4,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
87,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,12612,100 <= ... <  500 DM,1  <= ... < 4 years,1,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
88,... < 0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,3,"car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
89,... < 0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,... <  100 DM,4  <= ... < 7 years,4,none,3,real estate,28,none,own,2,skilled employee / official,1,none,yes,male,single
90,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,618,... <  100 DM,.. >= 7 years,4,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes,male,single
91,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (used),1409,... <  100 DM,.. >= 7 years,4,none,3,real estate,54,none,own,1,skilled employee / official,1,none,yes,male,single
92,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,797,unknown/ no savings account,.. >= 7 years,4,none,3,building society savings agreement/ life insurance,33,bank,own,1,unskilled - resident,2,none,yes,female,divorced/separated/married
93,>= 200 DM,24,critical account/  other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,.. >= 7 years,4,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,none,yes,male,single
94,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,.. >= 1000 DM,.. >= 7 years,4,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
95,0 <= ... < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,... <  100 DM,... < 1 year,3,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
96,no checking account,12,critical account/  other credits existing (not at this bank),education,2012,unknown/ no savings account,4  <= ... < 7 years,4,none,2,"car or other, not in attribute 6",61,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
97,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... <  500 DM,1  <= ... < 4 years,4,none,4,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes,male,single
98,0 <= ... < 200 DM,36,critical account/  other credits existing (not at this bank),radio/television,2337,... <  100 DM,.. >= 7 years,4,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,male,single
99,0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4  <= ... < 7 years,3,none,4,building society savings agreement/ life insurance,36,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
100,no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... <  500 DM,.. >= 7 years,4,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes,male,married/widowed
101,0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2323,... <  100 DM,4  <= ... < 7 years,4,none,4,"car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes,male,single
102,no checking account,6,delay in paying off in the past,radio/television,932,... <  100 DM,1  <= ... < 4 years,3,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
103,0 <= ... < 200 DM,9,critical account/  other credits existing (not at this bank),furniture/equipment,1919,... <  100 DM,4  <= ... < 7 years,4,none,3,"car or other, not in attribute 6",35,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
104,no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,... < 1 year,2,none,4,"car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed
105,0 <= ... < 200 DM,24,critical account/  other credits existing (not at this bank),others,11938,... <  100 DM,1  <= ... < 4 years,2,co-applicant,3,"car or other, not in attribute 6",39,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
106,no checking account,18,all credits at this bank paid back duly,car (new),6458,... <  100 DM,.. >= 7 years,2,none,4,unknown / no property,39,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
107,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,... <  100 DM,4  <= ... < 7 years,2,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,none,yes,male,single
108,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/ no savings account,... < 1 year,1,none,2,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,female,divorced/separated/married
109,0 <= ... < 200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,.. >= 7 years,1,none,2,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed
110,0 <= ... < 200 DM,6,delay in paying off in the past,business,1449,100 <= ... <  500 DM,.. >= 7 years,1,none,2,"car or other, not in attribute 6",31,bank,own,2,skilled employee / official,2,none,yes,male,divorced/separated
111,>= 200 DM,15,existing credits paid back duly till now,education,392,... <  100 DM,... < 1 year,4,none,4,building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
112,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,... <  100 DM,4  <= ... < 7 years,3,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,male,single
113,no checking account,36,critical account/  other credits existing (not at this bank),car (new),7855,... <  100 DM,1  <= ... < 4 years,4,none,2,real estate,25,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
114,... < 0 DM,12,existing credits paid back duly till now,radio/television,1680,500 <= ... < 1000 DM,.. >= 7 years,3,none,1,real estate,35,none,own,1,skilled employee / official,1,none,yes,male,married/widowed
115,no checking account,48,critical account/  other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,.. >= 7 years,4,none,1,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
116,... < 0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,4  <= ... < 7 years,4,none,3,"car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
117,... < 0 DM,10,critical account/  other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,... < 1 year,2,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,none,no,female,divorced/separated/married
118,... < 0 DM,33,critical account/  other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1  <= ... < 4 years,1,none,4,"car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
119,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM,4  <= ... < 7 years,3,none,3,"car or other, not in attribute 6",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated
120,... < 0 DM,21,existing credits paid back duly till now,radio/television,1835,... <  100 DM,1  <= ... < 4 years,3,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
121,no checking account,24,critical account/  other credits existing (not at this bank),car (used),3868,... <  100 DM,.. >= 7 years,4,none,2,"car or other, not in attribute 6",41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
122,no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,... <  100 DM,1  <= ... < 4 years,3,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,male,single
123,>= 200 DM,10,critical account/  other credits existing (not at this bank),car (new),781,... <  100 DM,.. >= 7 years,4,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
124,0 <= ... < 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,... < 1 year,4,none,3,real estate,27,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
125,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (new),2121,... <  100 DM,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes,male,single
126,... < 0 DM,12,existing credits paid back duly till now,radio/television,701,... <  100 DM,1  <= ... < 4 years,4,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,male,married/widowed
127,0 <= ... < 200 DM,12,existing credits paid back duly till now,repairs,639,... <  100 DM,1  <= ... < 4 years,4,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,male,single
128,0 <= ... < 200 DM,12,critical account/  other credits existing (not at this bank),car (used),1860,... <  100 DM,unemployed,4,none,2,"car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
